Region,ParkNameGroupTitle,ParkTotal,RegionNameTotal,RegionTotal,ReportTotal1
Southeast  Region,Everglades NP,1077427,Southeast  Region Total,63631541,307247252
Southeast  Region,Fort Caroline NMEM,224418,Southeast  Region Total,63631541,307247252
Southeast  Region,Fort Donelson NB,260744,Southeast  Region Total,63631541,307247252
Southeast  Region,Fort Frederica NM,202191,Southeast  Region Total,63631541,307247252
Southeast  Region,Fort Matanzas NM,622175,Southeast  Region Total,63631541,307247252
Southeast  Region,Fort Pulaski NM,382945,Southeast  Region Total,63631541,307247252
Southeast  Region,Fort Raleigh NHS,289885,Southeast  Region Total,63631541,307247252
Southeast  Region,Fort Sumter NM,840711,Southeast  Region Total,63631541,307247252
Southeast  Region,Great Smoky Mountains NP,10712674,Southeast  Region Total,63631541,307247252
Southeast  Region,Guilford Courthouse NMP,222602,Southeast  Region Total,63631541,307247252
Southeast  Region,Gulf Islands NS,3976883,Southeast  Region Total,63631541,307247252
Southeast  Region,Horseshoe Bend NMP,89282,Southeast  Region Total,63631541,307247252
Southeast  Region,Jean Lafitte NHP & PRES,405618,Southeast  Region Total,63631541,307247252
Southeast  Region,Jimmy Carter NHS,67797,Southeast  Region Total,63631541,307247252
Southeast  Region,Kennesaw Mountain NBP,2174870,Southeast  Region Total,63631541,307247252
Southeast  Region,Kings Mountain NMP,257077,Southeast  Region Total,63631541,307247252
Southeast  Region,Little River Canyon NPRES,248135,Southeast  Region Total,63631541,307247252
Southeast  Region,Mammoth Cave NP,566895,Southeast  Region Total,63631541,307247252
Southeast  Region,"Martin Luther King, Jr. NHS",673728,Southeast  Region Total,63631541,307247252
Southeast  Region,Moores Creek NB,89944,Southeast  Region Total,63631541,307247252
Southeast  Region,Natchez NHP,204332,Southeast  Region Total,63631541,307247252
Southeast  Region,Natchez Trace PKWY,5785812,Southeast  Region Total,63631541,307247252
Southeast  Region,New Orleans Jazz NHP,58188,Southeast  Region Total,63631541,307247252
Southeast  Region,Ninety Six NHS,80223,Southeast  Region Total,63631541,307247252
Southeast  Region,Obed W&SR,214441,Southeast  Region Total,63631541,307247252
Southeast  Region,Ocmulgee NM,155388,Southeast  Region Total,63631541,307247252
Southeast  Region,President W.J. Clinton Birthplace Home NHS,10463,Southeast  Region Total,63631541,307247252
Southeast  Region,Russell Cave NM,19430,Southeast  Region Total,63631541,307247252
Southeast  Region,Salt River Bay NHP & Ecological Pres,8108,Southeast  Region Total,63631541,307247252
Southeast  Region,San Juan NHS,1532818,Southeast  Region Total,63631541,307247252
Southeast  Region,Shiloh NMP,356535,Southeast  Region Total,63631541,307247252
Southeast  Region,Stones River NB,264925,Southeast  Region Total,63631541,307247252
Southeast  Region,Timucuan EHP,1239423,Southeast  Region Total,63631541,307247252
Southeast  Region,Tuskegee Airmen NHS,22662,Southeast  Region Total,63631541,307247252
Southeast  Region,Tuskegee Institute NHS,7961,Southeast  Region Total,63631541,307247252
Southeast  Region,Vicksburg NMP,532444,Southeast  Region Total,63631541,307247252
Southeast  Region,Virgin Islands NP,438372,Southeast  Region Total,63631541,307247252
Southeast  Region,Wright Brothers NMEM,437184,Southeast  Region Total,63631541,307247252
