Title1,Title2
Annual Summary Report ,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Summary%20Report%20(1904%20-%20Last%20Calendar%20Year)

ParkName1,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,RecreationVisitorsYTD2,NonRecreationVisitorsYTD2,RecreationHoursYTD2,NonRecreationHoursYTD2,ConcessionerLodgingYTD2,ConcessionerCampingYTD2,TentCampersYTD2,RVCampersYTD2,BackcountryYTD2,NonRecreationOvernightStaysYTD2,MiscellaneousOvernightStaysYTD2
Big Hole NB,2015,"39,549",0,"58,345",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Big South Fork NRRA,2015,"643,135",0,"4,567,508",0,"1,316",0,"6,157","25,251","12,040",0,"3,221","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Big Thicket NPRES,2015,"125,832",0,"398,393",0,0,0,0,0,"2,133",0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Bighorn Canyon NRA,2015,"245,173","6,900","909,022","3,447",0,0,"3,642","9,315",0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Biscayne NP,2015,"508,164",0,"1,672,449",0,0,0,"1,860",0,0,0,"4,305","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Black Canyon of the Gunnison NP,2015,"209,166",0,"1,226,426",0,0,0,"12,490","8,619","1,090",0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Blue Ridge PKWY,2015,"15,054,603","1,942,260","93,977,122","971,136","53,688",0,"61,481","33,499","2,101",0,"1,294","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Bluestone NSR,2015,"36,733",0,"91,833",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Booker T. Washington NM,2015,"27,205",84,"47,095",12,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Boston African American NHS,2015,"412,377",0,"824,754",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Boston NHP,2015,"2,262,841","64,800","1,862,810","11,018",0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Brown v. Board of Education NHS,2015,"25,338",0,"50,676",0,0,0,0,0,0,0,0,"307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
Bryce Canyon NP,2015,"1,745,804","419,035","11,039,361","125,711","53,792",0,"36,532","56,658","2,072",0,"1,432","307,247,252","173,060,681","1,334,248,906","91,746,409","3,385,750","1,421,213","3,680,809","2,260,198","2,020,068","112,259","2,151,446"
